portal,data_publicacao,titulo,url,crime_violento,crime_violento_calc,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
acritica,NA,Meio Ambiente & Sustentabilidade,https://www.acritica.com/opiniao/meioambientesustentabilidade,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,NA,Quarentena no Rio Negro,https://www.acritica.com/opiniao/quarentenanorionegro,FALSE,FALSE,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
