portal,data_publicacao,titulo,url,crime_violento,arquivo_origem,data_coleta,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
emtempo,2025-10-03,Adolescente de 16 anos é apreendido com drogas e balança em Manaus,https://emtempo.com.br/427956/policia/adolescente-apreendido-trafico-zona-leste-manaus/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,16,12-17 (adolescente)
acritica,2025-08-08,Adolescente de 16 anos é apreendido com pistola e revólver na Compensa,https://www.acritica.com/policia/adolescente-de-16-anos-e-apreendido-com-pistola-e-revolver-na-compensa-1.380566,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,16,12-17 (adolescente)
emtempo,2025-10-17,Adolescente de 16 anos é apreendido por roubo em cafeteria em Manaus,https://emtempo.com.br/430221/policia/adolescente-de-16-anos-e-apreendido-por-roubo-em-cafeteria-em-manaus/,TRUE,noticias_raw_emtempo_20250101_20251217.csv,NA,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,indefinido,16,12-17 (adolescente)
acritica,2025-12-19,Adolescente de 17 anos é apreendido com drogas no Centro de Manaus,https://www.acritica.com/policia/adolescente-de-17-anos-e-apreendido-com-drogas-no-centro-de-manaus-1.391751,FALSE,noticias_raw_acritica_20250101_20251228.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,17,12-17 (adolescente)
acritica,2025-05-30,"Adolescente de 17 anos é apreendido por mais de 10 ocorrências policiais, como porte de arma e roubo",https://www.acritica.com/policia/adolescente-de-17-anos-e-apreendido-por-mais-de-10-ocorrencias-policiais-como-porte-de-arma-e-roubo-1.373868,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Roubo Violento,Roubo/Assalto,Roubo/assalto com confronto,alta,indefinido,17,12-17 (adolescente)
acritica,2025-07-06,Adolescente de 17 anos morre após espancamento no Gilberto Mestrinho,https://www.acritica.com/policia/adolescente-de-17-anos-morre-apos-espancamento-no-gilberto-mestrinho-1.377761,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Lesão Corporal Grave,Espancamento,Lesão com agressão física grave,alta,indefinido,17,12-17 (adolescente)
emtempo,2025-12-15,Adolescente é apreendida com cocaína no Aeroporto de Tabatinga,https://emtempo.com.br/440154/policia/adolescente-e-apreendida-com-cocaina-no-aeroporto-de-tabatinga/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
emtempo,2025-12-08,Adolescente é apreendido após estuprar prima de 3 anos no AM,https://emtempo.com.br/438892/policia/adolescente-e-apreendido-apos-estuprar-prima-de-3-anos-no-am/,FALSE,noticias_raw_emtempo_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,3,0-11 (criança)
acritica,2025-05-29,Adolescente é apreendido com cocaína e dinheiro no Colônia Terra Nova,https://www.acritica.com/policia/adolescente-e-apreendido-com-cocaina-e-dinheiro-no-colonia-terra-nova-1.373767,FALSE,noticias_raw_acritica_20250101_20251217.csv,NA,Outros,Não classificado com precisão,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,2025-12-08,Adolescente é apreendido em beco da zona Leste por susposto tráfico de drogas,https://www.acritica.com/policia/adolescente-e-apreendido-em-beco-da-zona-leste-por-susposto-trafico-de-drogas-1.390861,TRUE,noticias_raw_acritica_20250101_20251217.csv,NA,Crime Organizado,Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,indefinido,NA,idade não informada
