titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Policiais da ROCAM apreendem 28 tabletes de maconha; traficantes fugiram a pé,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Exército e polícia apreendem 226 kg de droga avaliados em R$ 4,5 milhões no interior do AM",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso ao ser flagrado com submetralhadora falsa na zona Leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Dupla de detentos morre após tentar pegar arma de policial civil em Nova Olinda do Norte,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Suspeito é preso por matar outro homem a facadas no Gilberto Mestrinho,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Polícia frustra tentativa de assassinato na Cachoeirinha,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Com a morte de Paulo Onça, comerciante acusado de espancamento deve ser julgado por homicídio",Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
Traficante Pitbul leva quatro tiros durante confronto entre facções e sobrevive,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Sobe para 16 número de estruturas de garimpo neutralizadas durante Operação Ágata Amazônia 2025,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Após noite de tiroteio, corpo de homem é encontrado com marcas de tiros na zona leste de Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
PM apreende 300 kg de cocaína avaliados em R$ 24 milhões e prende dois traficantes no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem de 38 anos é preso suspeito de abandono de incapaz e ameaça no bairro Alvorada,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Homem é preso por tentativa de feminícidio em condomínio no bairro Ponta Negra,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
MPE-AM afirma que cantor de forró foi absolvido em audiência porque vítima não confirmou agressões,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Homem é detido por furto, liberado e acaba preso novamente após asfixiar criança de 11 anos",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia apreende 600 kg de maconha na AM-A10; droga está avaliada em R$ 12 milhões,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
‘HG’ é preso com armas de uso restrito das forças de segurança na Comunidade Laguinho,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia faz apreensão de armas e drogas na zona leste de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Operação Ágata 2025 combate garimpos ilegais na Amazônia,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Adolescentes de 15 e 16 anos envolvidos em sequestro de motorista de aplicativo são apreendidos,Sequestro/Cárcere Privado,Privação de liberdade com restrição,muito alta,NA,Sequestro/Cárcere Privado,NA
Operação policial apreende 10 quilos de drogas escondidos em caixa térmica com pacotes de açaí,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia apreende 3kg de maconha em abordagem no Porto de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia procura por homem suspeito de ameaça e perseguição contra ex-companheira, em Manaus",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia Civil prende homem por estupro de vulnerável da enteada de 10 anos, em Jutaí",Estupro,Estupro consumado,extrema,NA,Estupro,NA
Jovem de 18 anos é preso por furto em ônibus na zona norte de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Polícia Civil apreende 1 tonelada de drogas em “caleta submarina” de embarcação no interior do AM,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Polícia prende homem por pesca ilegal de 365 quilos de pirarucu, em Amaturá",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
