titulo,tipo_principal,tipo_detalhado,gravidade,validado,tipo_corrigido,observacoes
Homem é condenado a 97 anos de prisão por incêndio em casa lotérica no centro de Manaus,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Em São Gabriel da Cachoeira, PC-AM prende homem investigado por tortura contra enteada",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
Jovem é executado a tiros dentro de apartamento na zona Sul de Manaus,Homicídio,Homicídio consumado,extrema,NA,Homicídio,NA
"Em São Paulo de Olivença, PC-AM prende homem por estupro de vulnerável contra uma adolescente",Estupro de Vulnerável,Estupro de criança/adolescente,extrema,NA,Estupro de Vulnerável,NA
"PC-AM prende homem por agressão, injúria, ameaça e dano qualificado contra seu pai idoso",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"Dois homens são presos por agredirem as companheiras, em Manaus",Agressão Doméstica,Violência doméstica com lesão corporal,alta,NA,Agressão Doméstica,NA
"Em Barcelos, Polícia prende dois homens e uma mulher por tráfico de drogas e receptação",Tráfico de Drogas/Facções,Tráfico associado a facção criminosa,alta,NA,Tráfico de Drogas/Facções,NA
Homem é preso em Santo Antônio do Içá por estupro virtual de jovem no Rio de Janeiro,Estupro,Estupro consumado,extrema,NA,Estupro,NA
Foragido tenta escapar escalando prédio do fórum em Manaus e acaba preso,Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
"""Cara de gato"" é preso após atirar em família durante culto em igreja",Não classificado com precisão,Requer análise manual,indefinida,NA,Não classificado com precisão,NA
