portal,data_publicacao,titulo,url,crime_violento,categoria,tipo_principal,tipo_detalhado,gravidade,genero_vitima,idade_vitima,faixa_etaria
acritica,NA,Meio Ambiente & Sustentabilidade,https://www.acritica.com/opiniao/meioambientesustentabilidade,FALSE,Outros,Não classificado,Requer análise manual,indefinida,indefinido,NA,idade não informada
acritica,NA,Quarentena no Rio Negro,https://www.acritica.com/opiniao/quarentenanorionegro,FALSE,Outros,Não classificado,Requer análise manual,indefinida,indefinido,NA,idade não informada
