mes_ano,n_violentos,n_letais,indice_letal
2025-01-01,56,22,0.39285714285714285
2025-02-01,41,16,0.3902439024390244
2025-03-01,53,22,0.41509433962264153
2025-04-01,57,20,0.3508771929824561
2025-05-01,49,19,0.3877551020408163
2025-06-01,60,30,0.5
2025-07-01,63,30,0.47619047619047616
2025-08-01,51,19,0.37254901960784315
2025-09-01,43,18,0.4186046511627907
2025-10-01,47,26,0.5531914893617021
2025-11-01,22,3,0.13636363636363635
