data_publicacao,portal,titulo,url,categoria_atual,tipo_principal_atual,gravidade_atual,tipo_sugerido_ml,prob_tipo_ml,tipo_corrigido,categoria_corrigida,gravidade_corrigida,validado,observacoes
2025-12-14,d24am,VÍDEO: motorista de APP e comparsa armados agridem mulher em Manaus,https://d24am.com/policia/video-motorista-de-app-e-comparsa-armados-agridem-mulher-em-manaus/,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-12-14,d24am,Homem com histórico criminal é preso após furto em praça no AM,https://d24am.com/policia/homem-com-historico-criminal-e-preso-apos-furto-em-praca-no-am/,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
2025-12-14,d24am,Caso Benício: médica pode responder por uso indevido de título de pediatria,https://d24am.com/policia/caso-benicio-medica-pode-responder-por-uso-indevido-de-titulo-de-pediatria/,Outros,Não classificado com precisão,indefinida,NA,NA,Não classificado com precisão,Outros,indefinida,NA,NA
